Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1966,5,,,1970,,,,,Roy Skinner,The head coach of the Vanderbilt varsity basketball team who recruited Wallace to play at Vanderbilt (center),http://www.gannett-cdn.com/-mm-/6cf8b5a3a448e097140f82071ad2fdedf5ec8a74/c=0-74-2998-2328&r=x1443&c=1920x1440/local/-/media/Nashville/Nashville/2014/11/26/635525958683436826-PerryWallace-30.JPG,Photo: Jimmy Ellis / The Tennessean,Retrieved from: http://www.tennessean.com/story/news/2014/11/29/perry-wallace-became-reluctant-trailblazer/19637211/,,,Character Timeline,#333333
1958,4,,,1958,4,,,Approximately 1958,Walter Louis Smith,Wallace’s trumpet instructor,https://www.youtube.com/watch?v=0jFLoPV9-ME,Retrieved from: https://www.youtube.com/watch?v=0jFLoPV9-ME,,,,Character Timeline,#333333
1963,10,,,1966,10,,,1963-1966,Willie Brown,A peer of Wallace who played on Father Ryan's basketball team (left),http://www.gannett-cdn.com/-mm-/2b0b7652bf028bfb6a6fcc1995f07517d74eed61/c=0-6-800-608&r=x513&c=680x510/local/-/media/Nashville/Nashville/2014/02/17//1392690073000-DN-20131211-NEWS01-312110157-1.jpg,Photo: Jack Corn / The Tennessean,Retrieved from: http://www.tennessean.com/picture-gallery/news/local/2014/02/17/nashville-then-december-1963/5568059/,,,Character Timeline,#333333
1960,,,,1960,,,,Approximately 1960,Wilt Chamberlain,He introduced Wallace to the dunk,https://www.youtube.com/watch?v=WGllSScyi_g,Video: Wilt Chamberlain Archive,Retrieved from: https://www.youtube.com/watch?v=WGllSScyi_g,,,Character Timeline,#333333
1967,2,,,1967,2,,,Approximately 1967,Adolph Rupp,University of Kentucky’s varsity basketball coach who complained about Wallace's use of dunking,https://upload.wikimedia.org/wikipedia/commons/1/14/Adolph-Rupp-1930.jpg,Photo: Wikimedia Commons,Retrieved From: https://en.wikipedia.org/wiki/File:Adolph-Rupp-1930.jpg,,,Character Timeline,#333333
1959,,,,1959,,,,Met Wallace circa 1959,Walter Murray,Wallace’s best friend,https://s3.amazonaws.com/vu-wp0/wp-content/uploads/sites/108/2017/02/09160905/Walter-Murray-1967.jpg,Retrieved from: https://www.vanderbilt.edu/bcc/black-history-at-vanderbilt-spotlight/,,,,Character Timeline,#333333
1963,,,,1963,,,,,Alexander Heard,New chancellor of Vanderbilt who encouraged integration and racial equality on campus,http://news.vanderbilt.edu/vanderbiltmagazine/i/2009/08/Heard-A.jpg,Retrieved from: http://news.vanderbilt.edu/vanderbiltmagazine/university-mourns-loss-of-chancellor-heard/,,,,Character Timeline,#333333
1967,,,,1967,,,,,Arthur Ashe,Tennis player whom Wallace admired because he didn’t cause controversy as a black athlete,"http://a2.files.biography.com/image/upload/c_fit,cs_srgb,dpr_2.0,q_40,w_620/MTIwNjA4NjMzNzI5MDI1NTQ4.jpg",Retrieved from: http://www.biography.com/people/arthur-ashe-9190544#younger-years,,,,Character Timeline,#333333
1967,,,,1967,,,,,Beverly Asbury,A Vanderbilt University Chaplain hired by Chancellor Heard to help with race relations (far right),http://news.vanderbilt.edu/archived-news/vanderbilt-view/files/iVwyaY/MLKmarch.gif/main.gif,Retrieved from: http://news.vanderbilt.edu/archived-news/vanderbilt-view/articles/2008/04/01/looking-back-april-2008.52946.html,,,,Character Timeline,#333333
1966,10,1,,1970,10,1,,Approximately 1966-1970,"Bobbie Jean Perdue, Eileen Carpenter, Bedford Waters, Carolyn Bradshaw, and Morris Morgan",Fellow Black Pioneers at Vanderbilt University,https://www.youtube.com/watch?v=9Sb4LisGnBk,Video: Lost in the Ivy,Retrieved from: https://www.youtube.com/watch?v=9Sb4LisGnBk,,,Character Timeline,#333333
1967,,,,1967,,,,Approximately 1967,Bill Russell,A basketball player whom Wallace admired because he spoke proudly about being black,http://www.photofile.com/Original/AA/MU/aamu150.jpg,Retrieved from: http://www.photofile.com/SportsProducts/ProductOptions/AAMU150.html?option=1,,,,Character Timeline,#333333
1967,,,,1967,,,,Approximately 1967,Cassius Clay,A black boxing champion known as Muhammad Ali whom Wallace admired for his athletic abilities and political activism,https://www.youtube.com/watch?v=EYoh62jUFpk,Retrieved from: https://www.youtube.com/watch?v=EYoh62jUFpk,,,,Character Timeline,#333333
1966,10,2,,1966,10,2,,Met Wallace in 1966,Godfrey Dillard,Wallace’s fellow black teammate on Vanderbilt’s junior varsity basketball team,http://grfx.cstv.com/schools/vand/graphics/auto/Dillard1-265act.jpg,Retrieved from: http://www.vucommodores.com/sports/historycorner/spec-rel/122910aad.html,,,,Character Timeline,#333333
1967,2,,,1967,2,,,Approximately 1967,Lew Alcindor,A basketball star known as Kareem Abdul-Jabbar whose talent prompted a ban on dunking,http://new.artsmia.org/wp-content/uploads/2014/08/cover_e.jpg,Retrieved from: http://new.artsmia.org/teaching-the-arts/lew-alcindor-basketball-player-61st-street-and-amsterdam-avenue-new-york-may-2-1963/avedon-and-alcindor/,,,,Character Timeline,#333333
1967,4,6,,1967,4,6,,April 1967,"Martin Luther King, Jr. ",Foremost Civil Rights leader who also spoke at Impact ‘67,http://images.huffingtonpost.com/2016-01-18-1453130532-1976774-MartinLutherKingspeaking-thumb.jpg,Retrieved from: http://www.huffingtonpost.com/peter-dreier/martin-luther-king-was-a-democratic-socialist_b_9008990.html,,,,Character Timeline,#333333
1969,,,,1970,,,,,Wallace's Roommates,"Paul Watermulder, Hal McClain, and David Lombard (no photo available)",,,,,,Character Timeline,#333333
1968,3,2,,1968,3,2,,March 1968,Robert F. Kennedy,A presidential candidate who spoke at Impact ‘68,http://arlingtoncemetery.net/rfk.jpg,Photo: The United States Senate,Retrieved from: http://arlingtoncemetery.net/rfk.htm,,,Character Timeline,#333333
1968,,,,1970,,,,,Pete Maravich,Wallace’s fellow SEC basketball player who faced extreme scrutiny,http://media.al.com/sports_impact/photo/maravich-vs-alabama-01dfa1b8cef215a1.jpg,Photo: LSU athletics,Retrieved from: http://www.al.com/sports/index.ssf/2015/02/today_in_sports_history_lsus_p.html,,,Character Timeline,#333333
1967,4,6,,1967,4,5,,April 1967,Stokely Carmichael,A Civil Rights leader and Black Panther leader who spoke at Impact ‘67,http://cdn.hiphopwired.com/wp-content/uploads/2011/06/stokely-carmichael1.jpg,Retrieved from: http://hiphopwired.com/2011/06/28/happy-birthday-dr-kwame-ture-stokely-carmichael-father-of-black-power/,,,,Character Timeline,#333333
1966,10,3,,1966,10,3,,Approximately 1966,Vereen Bell,A Vanderbilt English professor who was an ally of black students like Wallace,http://as.vanderbilt.edu/english/images/people/image.php?width=175&image=http://as.vanderbilt.edu/english/images/people/vereen-bell.jpg,Retrieved from: http://as.vanderbilt.edu/english/bio/vereen-bell,,,,Character Timeline,#333333
1970,3,9,,1970,3,9,,"March 8, 1970",Frank Sutherland,"The journalist who interviewed Wallace after his final game (pictured here are John Seigenthaler, Frank Sutherland and Wendell Rawls)",http://nashvillearts.com/wp-content/uploads/2014/03/G9481.jpg,Photo: John Seigenthaler,Retrieved from: http://nashvillearts.com/2014/04/john-seigenthaler/,,,Character Timeline,#333333
1974,,,,1974,,,,,Bob Tallent,The coach of George Washington University’s basketball team who asked Wallace to mentor his players,http://grfx.cstv.com/photos/schools/gewa/sports/genrel/auto_headshot/5197919.jpeg,Retrieved from: http://www.gwsports.com/genrel/tallent_bob00.html,,,,Character Timeline,#333333
2004,2,22,,2004,2,22,,2004,David Williams,The vice chancellor of Vanderbilt who organized the retirement of Wallace’s basketball jersey number,http://grfx.cstv.com/schools/vand/graphics/auto/davidwilliams350wide.jpg,Retrieved from: http://www.vucommodores.com/ot/announcement.html,,,,Character Timeline,#333333
1972,,,,1975,,,,During Wallace's Time in Law School: 1972-1975,Ernest Green,One of the Little Rock Nine and a role model for Wallace,https://www.youtube.com/watch?v=MijCzE9Y1DI,Video: The U.S. Army,Retrieved from: https://www.youtube.com/watch?v=MijCzE9Y1DI,,,Character Timeline,#333333
1992,2,,,1992,2,,,1992,Gabrielle Eugenie Wallace,Wallace’s adopted daughter who has Asperger’s Syndrome (no photo available),,,,,,Character Timeline,#333333
1972,,,,1975,,,,During Wallace's Time in Law School: 1972-1975,Jack Greenburg,One of Wallace’s law professors who worked on Brown v. Board of Education,https://www.youtube.com/watch?v=pFHEZD7o7h8,Video: United States Court of Appeals for the Ninth Circuit,Retrieved from: https://www.youtube.com/watch?v=pFHEZD7o7h8,,,Character Timeline,#333333
1970,,,,1970,,,,,Jack Ramsey,The coach of the professional basketball team the Philadelphia 76ers who encouraged Wallace to apply to law school,https://www.youtube.com/watch?v=tAO8LqJSJ18,Video: The National Basketball Association,Retrieved from: https://www.youtube.com/watch?v=tAO8LqJSJ18,,,Character Timeline,#333333
1970,,,,1970,,,,Approximately 1970,Joe Bryant,A student on the basketball team Wallace coached who became a famous basketball player,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Joe_Bryant_2010.jpg/796px-Joe_Bryant_2010.jpg,Photo: Wikimedia Commons,Retrieved from: https://en.wikipedia.org/wiki/File:Joe_Bryant_2010.jpg,,,Character Timeline,#333333
1981,2,,,1981,2,,,1981,Karen Smyley,Wallace’s wife and a French professor (no photo available),,,,,,Character Timeline,#333333
1970,,,,1970,,,,Approximately 1970,Leonard “Lenny” Burg,Wallace’s coworker at Urban League and his roommate (no photo available),,,,,,Character Timeline,#333333
1975,,,,1975,,,,Approximately 1975,Paul Robeson,"A black athlete, actor, and singer whom Wallace and Wallace’s dad admired for his political activism",https://www.youtube.com/watch?v=BUki-v-NvoE,Retrieved from: https://www.youtube.com/watch?v=BUki-v-NvoE,,,,Character Timeline,#333333
1971,10,1,,1971,10,1,,1970,Ron Brown,He hired Wallace to work at Urban League,http://www.blackpast.org/files/blackpast_images/brown_ron.jpg,Photo: The Library of Congress,Retrieved from: http://www.blackpast.org/aah/brown-ronald-h-1941-1996,,,Character Timeline,#333333
1989,,,,1989,,,,,Sam Heys,The journalist who initiated Wallace’s return to Vanderbilt and recognized Wallace as a pioneer,http://www.samheys.com/images/sheys-140-Sam.jpg,Retrieved from: http://www.samheys.com/,,,,Character Timeline,#333333
2017,,,,2017,,,,,Triumph,This major documentary film about Perry Wallace's life is coming soon,https://www.youtube.com/watch?v=Nbzx-aCFOr0,Retrieved from: http://www.perrywallacefilm.com/,,,,Later Years,#993D1B
